brand,processor,ram(GB),ssd(GB),hdd(GB),os,gpu,screen_size(inches),resolution(pixels),no_of_cores,no_of_threads,spec_score,price
3,13,16,512,0,4,46,16.0,1,8,16,75,87990
1,18,16,1000,0,4,121,14.0,20,14,20,69,115999
6,16,8,512,0,4,134,14.0,3,10,12,59,108000
9,16,16,512,0,4,18,15.6,7,10,12,56,75070
16,16,8,256,0,4,134,13.0,21,10,12,51,99999
9,35,8,512,0,1,96,14.0,3,4,8,56,30020
9,55,16,512,0,4,79,16.1,7,8,16,81,108290
3,16,16,512,0,4,121,14.0,7,12,16,74,66990
9,91,8,256,0,4,140,14.0,3,4,4,51,30990
3,8,8,512,0,4,138,14.0,7,4,8,60,41990
3,73,4,0,32,0,124,11.6,3,2,2,0,15990
14,16,16,512,0,4,46,15.6,7,8,12,75,80990
1,20,16,1000,0,4,69,15.6,15,14,20,76,158990
1,10,8,512,0,4,123,15.6,7,2,4,50,33990
3,18,16,1000,0,4,69,16.0,28,14,20,88,198490
3,7,8,512,0,4,123,15.6,7,2,4,55,33575
15,99,8,512,0,4,31,15.6,7,6,12,68,48890
12,3,4,128,0,4,123,14.0,7,4,0,47,22990
3,18,16,1000,0,4,46,15.6,7,10,16,76,95990
3,11,8,512,0,4,121,15.6,7,4,8,61,46990
3,15,8,512,0,4,132,15.6,7,10,12,59,43879
9,10,8,256,0,4,126,14.0,7,2,4,55,35490
9,16,16,512,0,4,134,15.6,7,10,12,55,62490
3,23,16,512,0,4,50,15.6,7,14,20,79,94990
3,50,16,1000,0,4,49,17.3,7,8,16,75,87990
12,3,8,256,0,4,123,14.0,7,4,0,50,29990
3,16,16,512,0,4,46,15.6,0,8,12,67,77990
1,11,16,512,0,4,38,15.6,7,6,12,73,62990
1,16,8,512,0,4,45,15.6,7,12,16,67,59999
14,37,8,512,0,4,96,15.6,7,4,8,61,40026
1,16,8,512,0,4,38,15.6,7,12,16,69,57990
14,99,16,512,0,4,46,15.6,7,6,12,75,71990
3,16,8,512,0,4,46,15.6,7,8,12,72,75990
3,99,16,512,0,4,96,14.0,20,6,12,72,59990
9,18,16,1000,0,4,121,15.6,7,12,16,66,85990
9,16,16,512,0,4,134,14.0,7,10,12,62,71990
15,18,16,1000,0,4,69,15.6,15,14,20,84,111000
2,67,8,512,0,2,0,13.3,16,8,0,45,139990
9,18,16,1000,0,4,134,14.0,7,10,12,65,84990
3,16,8,512,0,4,121,15.6,7,12,16,63,56825
6,11,16,512,0,4,46,15.6,7,6,12,69,68102
6,18,16,512,0,4,49,15.6,7,14,20,75,108400
1,11,8,512,0,4,132,15.6,7,4,8,53,43490
9,99,8,512,0,4,51,15.6,7,6,12,72,69028
6,72,8,256,0,4,96,15.6,7,2,2,48,33000
4,73,4,128,0,4,126,14.1,7,2,2,47,16990
19,120,4,0,128,4,150,14.0,7,0,0,0,32990
3,91,4,0,128,4,140,13.3,7,4,4,51,29990
3,10,8,512,0,4,140,15.6,7,2,4,50,35990
14,98,8,512,0,4,91,15.6,7,6,12,59,47799
9,109,16,512,0,4,46,15.6,7,8,16,72,73758
12,8,8,512,0,4,123,14.0,7,4,8,48,37490
2,83,16,512,0,2,5,14.2,23,8,0,53,171594
9,99,8,512,0,4,31,16.1,7,6,12,65,61490
6,11,8,512,0,4,16,15.6,7,4,8,61,59306
6,11,8,256,0,4,134,14.0,7,4,8,60,74500
9,11,8,256,1000,4,38,15.6,7,4,8,75,66990
6,11,16,512,0,4,134,15.6,7,4,8,71,67990
21,11,16,512,0,4,134,14.0,16,4,8,62,58355
9,34,8,256,1000,4,101,15.6,7,2,4,62,44990
9,26,8,512,0,4,110,14.0,7,4,8,57,90464
9,10,8,512,0,4,123,15.6,7,2,4,56,41990
3,12,16,512,0,4,121,15.6,7,4,8,61,54990
9,30,8,0,1000,4,96,14.0,3,2,2,47,25999
9,93,8,256,0,4,96,15.6,7,4,8,59,40490
14,11,8,512,0,4,121,15.6,7,4,8,65,49490
2,67,16,512,0,2,0,13.3,16,8,0,47,168900
14,35,8,512,0,1,96,15.6,7,4,8,56,32990
14,22,16,1000,0,4,135,14.0,28,12,16,78,174990
10,11,8,512,0,4,154,14.0,7,4,8,63,46990
5,15,16,512,0,4,112,14.0,10,6,8,54,33990
6,15,8,512,0,4,140,15.6,7,6,8,59,46900
6,16,8,512,0,4,134,15.6,7,10,12,60,63690
14,40,8,512,0,1,96,15.6,7,6,12,56,42137
9,34,4,0,1000,4,96,14.0,7,2,4,53,24990
1,6,4,256,0,4,123,14.0,3,4,4,50,37990
3,10,8,512,0,4,140,15.6,7,2,4,51,42990
14,11,8,512,0,1,123,15.6,7,4,8,60,52500
9,68,8,0,1000,4,96,15.6,3,2,2,47,27390
14,69,4,0,1000,1,93,14.0,3,2,2,48,18990
14,68,4,256,0,4,93,14.0,3,2,2,51,20990
6,18,16,512,0,4,19,16.0,7,10,12,69,98450
1,16,16,512,0,4,46,15.6,7,12,16,76,73990
3,11,8,512,0,4,118,14.0,7,4,8,65,49490
6,18,16,512,0,4,69,15.6,7,14,20,84,168990
3,105,16,512,0,4,102,16.0,1,6,12,68,54990
1,87,8,256,0,4,125,15.6,3,4,0,50,24990
3,16,8,512,0,4,132,15.6,7,10,12,62,56990
3,11,8,512,0,4,134,15.6,7,4,8,56,46890
14,40,8,512,0,4,96,15.6,7,6,12,57,45278
6,20,16,1000,0,4,84,15.6,15,14,20,71,138990
6,18,16,512,0,4,120,14.0,8,10,12,57,79490
9,28,4,256,0,1,153,15.6,7,2,2,0,21633
3,16,16,512,0,4,121,15.6,7,10,12,61,67499
16,16,8,256,0,4,132,13.5,12,10,12,50,98990
12,10,8,256,0,4,123,15.6,7,2,4,45,34990
12,12,16,512,0,4,121,15.6,7,4,8,59,57990
12,11,8,512,0,4,121,15.6,7,4,8,49,47990
10,40,16,512,0,4,91,14.0,7,6,12,59,44990
